,Kp,Ki,Kd,RMSE,Collided
0,210,1,1,0.5810139171858975,False
1,210,1,2,0.47116302148400385,False
2,210,1,3,0.41773709009467536,False
3,210,1,4,0.38812063061065666,False
4,210,1,5,0.3680367675085071,False
5,210,1,6,0.35370583688531854,False
6,210,1,7,0.34279963344124775,False
7,210,1,8,0.33417737386380436,False
8,210,1,9,0.32709238153973264,False
9,210,1,10,0.32117112878159104,False
10,210,1,11,0.31614280372786213,False
11,210,1,12,0.3118044558522107,False
12,210,1,13,0.3080259490971353,False
13,210,1,14,0.30470379500109285,False
14,210,1,15,0.30175542730934796,False
15,210,1,16,0.2991292648167797,False
16,210,1,17,0.2972929444784464,False
17,210,1,18,0.2957623223094089,False
18,210,1,19,0.2938946410309578,False
19,210,1,20,0.2921914842394131,False
20,210,2,1,0.6073105672881366,False
21,210,2,2,0.4823819199938485,False
22,210,2,3,0.42306160771095835,False
23,210,2,4,0.3908965970146828,False
24,210,2,5,0.36949495279435707,False
25,210,2,6,0.35442323062234804,False
26,210,2,7,0.3430518257505056,False
27,210,2,8,0.33408463535615684,False
28,210,2,9,0.32677044625397417,False
29,210,2,10,0.3206778134295789,False
30,210,2,11,0.3155026546151434,False
31,210,2,12,0.311050999110762,False
32,210,2,13,0.3071837594556048,False
33,210,2,14,0.30378121026021615,False
34,210,2,15,0.30077741276541764,False
35,210,2,16,0.2985522776211925,False
36,210,2,17,0.29668272763195197,False
37,210,2,18,0.2945873140882259,False
38,210,2,19,0.2926864503388414,False
39,210,2,20,0.29095461121584054,False
40,210,3,1,0.637469816905044,False
41,210,3,2,0.4946685165836433,False
42,210,3,3,0.42849781640560375,False
43,210,3,4,0.3934486039311439,False
44,210,3,5,0.3705849169086783,False
45,210,3,6,0.35467602494663814,False
46,210,3,7,0.34275799159332926,False
47,210,3,8,0.3334339182175545,False
48,210,3,9,0.3258498198594671,False
49,210,3,10,0.3195587004938537,False
50,210,3,11,0.3142286411215565,False
51,210,3,12,0.3096515646742579,False
52,210,3,13,0.3056757626576919,False
53,210,3,14,0.3021892811334334,False
54,210,3,15,0.299470765753619,False
55,210,3,16,0.29718626656179675,False
56,210,3,17,0.2948098741971634,False
57,210,3,18,0.29266854562251776,False
58,210,3,19,0.29072763708684624,False
59,210,3,20,0.28896370551914013,False
60,210,4,1,0.6719436752929848,False
61,210,4,2,0.5086130033345069,False
62,210,4,3,0.4344027626745665,False
63,210,4,4,0.39602447469525603,False
64,210,4,5,0.37144817209206105,False
65,210,4,6,0.3546060845121419,False
66,210,4,7,0.3421009618961081,False
