PID_IN,PID_Kp_OUT1,PID_Kid_OUT1,PID_prod1_IN2,PID_int_delayIn_IN1,PID_der_sum1_IN2,PID_der_delay_IN1,PID_der_sum2_IN2,PID_prod1_IN1,PID_prod1_IN2,PID_prod1_OUT1,PID_int_zero_OUT1,PID_int_delayIn_IN1,PID_int_delayIn_OUT1,PID_int_delayIn_IC,PID_int_delta_t_OUT1,PID_int_multDelta_IN1,PID_int_multDelta_IN2,PID_int_multDelta_OUT1,PID_zeroCt_OUT1,PID_int_delayState_IN1,PID_int_delayState_OUT1,PID_int_delayState_IC,PID_int_sumState_IN1,PID_int_sumState_IN2,PID_int_sumState_OUT1,PID_prod2_IN1,PID_prod2_IN2,PID_prod2_OUT1,PID_sum1_IN1,PID_sum1_IN2,PID_sum1_OUT1,PID_der_delta_t_OUT1,PID_der_multIc_IN1,PID_der_multIc_IN2,PID_der_multIc_OUT1,PID_der_neg1_IN1,PID_der_neg1_OUT1,PID_der_sum1_IN1,PID_der_sum1_IN2,PID_der_sum1_OUT1,PID_der_delay_IN1,PID_der_delay_OUT1,PID_der_delay_IC,PID_der_neg2_IN1,PID_der_neg2_OUT1,PID_der_sum2_IN1,PID_der_sum2_IN2,PID_der_sum2_OUT1,PID_der_inv_IN1,PID_der_inv_OUT1,PID_der_mult_IN1,PID_der_mult_IN2,PID_der_mult_OUT1,PID_prod3_IN1,PID_prod3_IN2,PID_prod3_OUT1,PID_sum2_IN1,PID_sum2_IN2,PID_sum2_OUT1,PID_OUT
0,390,20,0,0,0,0,0,390,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,10,0,10,0,20,0,0,0,0,0,0
0.25,390,20,0.25,0.25,0.25,0.25,0.25,390,0.25,97.5,0,0.25,0,0.25,0.1,0,0.1,0,0,0,0,0,0,0,0,0,20,0,97.5,0,97.5,0.1,0,0.1,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0.25,0.25,0.1,10,0.25,10,2.5,20,2.5,50,97.5,50,147.5,147.5
0.5175,390,20,0.5175,0.5175,0.5175,0.5175,0.5175,390,0.5175,201.825,0,0.5175,0.25,0.5175,0.1,0.25,0.1,0.025,0,0,0,0,0.025,0,0.025,0.025,20,0.5,201.825,0.5,202.325,0.1,0,0.1,0,0,0,0,0.5175,0.5175,0.5175,0.25,0.5175,0.25,-0.25,-0.25,0.5175,0.2675,0.1,10,0.2675,10,2.675,20,2.675,53.5,202.325,53.5,255.825,255.825
0.8025,390,20,0.8025,0.8025,0.8025,0.8025,0.8025,390,0.8025,312.975,0,0.8025,0.5175,0.8025,0.1,0.5175,0.1,0.05175,0,0.025,0,0.025,0.05175,0,0.05175,0.05175,20,1.035,312.975,1.035,314.01,0.1,0,0.1,0,0,0,0,0.8025,0.8025,0.8025,0.5175,0.8025,0.5175,-0.5175,-0.5175,0.8025,0.285,0.1,10,0.285,10,2.85,20,2.85,57,314.01,57,371.01,371.01
1.060331,390,20,1.060331,1.060331,1.060331,1.060331,1.060331,390,1.060331,413.529095,0,1.060331,0.8025,1.060331,0.1,0.8025,0.1,0.08025,0,0.05175,0.025,0.05175,0.08025,0.025,0.10525,0.10525,20,2.105,413.529095,2.105,415.634095,0.1,0,0.1,0,0,0,0,1.060331,1.060331,1.060331,0.8025,1.060331,0.8025,-0.8025,-0.8025,1.060331,0.257831,0.1,10,0.257831,10,2.57831,20,2.57831,51.566203,415.634095,51.566203,467.200298,467.200298
1.259659,390,20,1.259659,1.259659,1.259659,1.259659,1.259659,390,1.259659,491.266969,0,1.259659,1.060331,1.259659,0.1,1.060331,0.1,0.106033,0,0.10525,0.05175,0.10525,0.106033,0.05175,0.157783,0.157783,20,3.155662,491.266969,3.155662,494.422631,0.1,0,0.1,0,0,0,0,1.259659,1.259659,1.259659,1.060331,1.259659,1.060331,-1.060331,-1.060331,1.259659,0.199328,0.1,10,0.199328,10,1.993279,20,1.993279,39.865576,494.422631,39.865576,534.288207,534.288207
1.365602,390,20,1.365602,1.365602,1.365602,1.365602,1.365602,390,1.365602,532.584598,0,1.365602,1.259659,1.365602,0.1,1.259659,0.1,0.125966,0,0.157783,0.10525,0.157783,0.125966,0.10525,0.231216,0.231216,20,4.624318,532.584598,4.624318,537.208916,0.1,0,0.1,0,0,0,0,1.365602,1.365602,1.365602,1.259659,1.365602,1.259659,-1.259659,-1.259659,1.365602,0.105943,0.1,10,0.105943,10,1.059426,20,1.059426,21.188528,537.208916,21.188528,558.397443,558.397443
1.34903,390,20,1.34903,1.34903,1.34903,1.34903,1.34903,390,1.34903,526.121864,0,1.34903,1.365602,1.34903,0.1,1.365602,0.1,0.13656,0,0.231216,0.157783,0.231216,0.13656,0.157783,0.294343,0.294343,20,5.886865,526.121864,5.886865,532.008729,0.1,0,0.1,0,0,0,0,1.34903,1.34903,1.34903,1.365602,1.34903,1.365602,-1.365602,-1.365602,1.34903,-0.016571,0.1,10,-0.016571,10,-0.165711,20,-0.165711,-3.314223,532.008729,-3.314223,528.694506,528.694506
1.189633,390,20,1.189633,1.189633,1.189633,1.189633,1.189633,390,1.189633,463.956691,0,1.189633,1.34903,1.189633,0.1,1.34903,0.1,0.134903,0,0.294343,0.231216,0.294343,0.134903,0.231216,0.366119,0.366119,20,7.322379,463.956691,7.322379,471.279069,0.1,0,0.1,0,0,0,0,1.189633,1.189633,1.189633,1.34903,1.189633,1.34903,-1.34903,-1.34903,1.189633,-0.159398,0.1,10,-0.159398,10,-1.593979,20,-1.593979,-31.879576,471.279069,-31.879576,439.399493,439.399493
0.880113,390,20,0.880113,0.880113,0.880113,0.880113,0.880113,390,0.880113,343.244215,0,0.880113,1.189633,0.880113,0.1,1.189633,0.1,0.118963,0,0.366119,0.294343,0.366119,0.118963,0.294343,0.413307,0.413307,20,8.26613,343.244215,8.26613,351.510346,0.1,0,0.1,0,0,0,0,0.880113,0.880113,0.880113,1.189633,0.880113,1.189633,-1.189633,-1.189633,0.880113,-0.309519,0.1,10,-0.309519,10,-3.095192,20,-3.095192,-61.903833,351.510346,-61.903833,289.606512,289.606512
0.429478,390,20,0.429478,0.429478,0.429478,0.429478,0.429478,390,0.429478,167.496331,0,0.429478,0.880113,0.429478,0.1,0.880113,0.1,0.088011,0,0.413307,0.366119,0.413307,0.088011,0.366119,0.45413,0.45413,20,9.082605,167.496331,9.082605,176.578937,0.1,0,0.1,0,0,0,0,0.429478,0.429478,0.429478,0.880113,0.429478,0.880113,-0.880113,-0.880113,0.429478,-0.450636,0.1,10,-0.450636,10,-4.506356,20,-4.506356,-90.12712,176.578937,-90.12712,86.451816,86.451816
-0.135221,390,20,-0.135221,-0.135221,-0.135221,-0.135221,-0.135221,390,-0.135221,-52.736042,0,-0.135221,0.429478,-0.135221,0.1,0.429478,0.1,0.042948,0,0.45413,0.413307,0.45413,0.042948,0.413307,0.456254,0.456254,20,9.125086,-52.736042,9.125086,-43.610956,0.1,0,0.1,0,0,0,0,-0.135221,-0.135221,-0.135221,0.429478,-0.135221,0.429478,-0.429478,-0.429478,-0.135221,-0.564698,0.1,10,-0.564698,10,-5.646984,20,-5.646984,-112.939678,-43.610956,-112.939678,-156.550634,-156.550634
-0.768607,390,20,-0.768607,-0.768607,-0.768607,-0.768607,-0.768607,390,-0.768607,-299.756771,0,-0.768607,-0.135221,-0.768607,0.1,-0.135221,0.1,-0.013522,0,0.456254,0.45413,0.456254,-0.013522,0.45413,0.440608,0.440608,20,8.812164,-299.756771,8.812164,-290.944606,0.1,0,0.1,0,0,0,0,-0.768607,-0.768607,-0.768607,-0.135221,-0.768607,-0.135221,0.135221,0.135221,-0.768607,-0.633386,0.1,10,-0.633386,10,-6.333865,20,-6.333865,-126.677297,-290.944606,-126.677297,-417.621903,-417.621903
-1.40915,390,20,-1.40915,-1.40915,-1.40915,-1.40915,-1.40915,390,-1.40915,-549.568467,0,-1.40915,-0.768607,-1.40915,0.1,-0.768607,0.1,-0.076861,0,0.440608,0.456254,0.440608,-0.076861,0.456254,0.379394,0.379394,20,7.587872,-549.568467,7.587872,-541.980596,0.1,0,0.1,0,0,0,0,-1.40915,-1.40915,-1.40915,-0.768607,-1.40915,-0.768607,0.768607,0.768607,-1.40915,-0.640543,0.1,10,-0.640543,10,-6.405428,20,-6.405428,-128.108562,-541.980596,-128.108562,-670.089158,-670.089158
-1.983256,390,20,-1.983256,-1.983256,-1.983256,-1.983256,-1.983256,390,-1.983256,-773.469666,0,-1.983256,-1.40915,-1.983256,0.1,-1.40915,0.1,-0.140915,0,0.379394,0.440608,0.379394,-0.140915,0.440608,0.299693,0.299693,20,5.993864,-773.469666,5.993864,-767.475802,0.1,0,0.1,0,0,0,0,-1.983256,-1.983256,-1.983256,-1.40915,-1.983256,-1.40915,1.40915,1.40915,-1.983256,-0.574106,0.1,10,-0.574106,10,-5.741056,20,-5.741056,-114.821128,-767.475802,-114.821128,-882.29693,-882.29693
-2.411866,390,20,-2.411866,-2.411866,-2.411866,-2.411866,-2.411866,390,-2.411866,-940.627717,0,-2.411866,-1.983256,-2.411866,0.1,-1.983256,0.1,-0.198326,0,0.299693,0.379394,0.299693,-0.198326,0.379394,0.181068,0.181068,20,3.62136,-940.627717,3.62136,-937.006357,0.1,0,0.1,0,0,0,0,-2.411866,-2.411866,-2.411866,-1.983256,-2.411866,-1.983256,1.983256,1.983256,-2.411866,-0.42861,0.1,10,-0.42861,10,-4.286104,20,-4.286104,-85.722077,-937.006357,-85.722077,-1022.728434,-1022.728434
-2.618536,390,20,-2.618536,-2.618536,-2.618536,-2.618536,-2.618536,390,-2.618536,-1021.228845,0,-2.618536,-2.411866,-2.618536,0.1,-2.411866,0.1,-0.241187,0,0.181068,0.299693,0.181068,-0.241187,0.299693,0.058507,0.058507,20,1.170132,-1021.228845,1.170132,-1020.058713,0.1,0,0.1,0,0,0,0,-2.618536,-2.618536,-2.618536,-2.411866,-2.618536,-2.411866,2.411866,2.411866,-2.618536,-0.20667,0.1,10,-0.20667,10,-2.066696,20,-2.066696,-41.333912,-1020.058713,-41.333912,-1061.392625,-1061.392625
